"ISO3","Name","Value","sign"
"PRT","Portugal",0.00116596360619521,0
"QAT","Qatar",-0.0152696355765125,0
"ROU","Romania",0.011327085270648,1
"RUS","Russian Federation",-0.0244880472698644,-1
"RWA","Rwanda",0.00438054231180694,0
"KNA","Saint Kitts and Nevis",0.0178055526768393,1
"LCA","Saint Lucia",-0.00715253833477991,-1
"VCT","Saint Vincent and the Grenadines",-0.00345056582076057,0
"WSM","Samoa",-0.020894733604777,-1
"SMR","San Marino",0.0172117060397722,1
"STP","Sao Tome and Principe",-0.00238355163792636,0
"SAU","Saudi Arabia",-0.00886288102155029,0
"SEN","Senegal",0.00634811200194088,1
"SRB","Serbia",0.0088784007748769,0
"SYC","Seychelles",-0.017883619525341,-1
"SLE","Sierra Leone",-0.00846765145574306,-1
"SGP","Singapore",-0.0103238235303839,-1
"SVK","Slovakia",0.00834690324963069,1
"SVN","Slovenia",0.00323591516359847,0
"SLB","Solomon Islands",-0.00849354896606598,-1
"SOM","Somalia",-0.0477295017109468,-1
"ZAF","South Africa",-0.0119012549384832,-1
"ESP","Spain",0.00626185492490028,0
"LKA","Sri Lanka",-0.0136097428328166,-1
"SDN","Sudan",-0.0159249678281345,-1
"SUR","Suriname",0.0110436161057596,1
"SWZ","Swaziland",-0.00295197577763107,-1
"SWE","Sweden",-0.0103775061687269,-1
"CHE","Switzerland",-0.00659123622432933,-1
"SYR","Syrian Arab Republic",0.0115193973472022,1
"TJK","Tajikistan",-0.00532545520272728,0
"TZA","Tanzania, United Republic of",0.0103346742047329,1
"THA","Thailand",-0.0293495387200041,-1
"TLS","Timor-Leste",-0.0276786883626986,-1
"TGO","Togo",0.00362234815563255,0
"TON","Tonga",-0.0180048328306326,0
"TTO","Trinidad and Tobago",-0.00429089252890865,-1
"TUN","Tunisia",-0.0248317718425983,-1
"TUR","Turkey",0.000707568762095655,0
"TKM","Turkmenistan",-0.00230515411695616,0
"TUV","Tuvalu",0.00526929180535984,1
"UGA","Uganda",-0.00589274103290808,-1
"UKR","Ukraine",0.00619003487351398,1
"ARE","United Arab Emirates",-0.0229950609232047,-1
"GBR","United Kingdom",-0.00841697747964888,-1
"USA","United States",-0.00275021793216931,-1
"URY","Uruguay",-0.00431197697445122,0
"UZB","Uzbekistan",0.0113282376373909,1
"VUT","Vanuatu",-0.0201068629114527,0
"VEN","Venezuela, Bolivarian Republic o",0.0124672023485742,1
"VNM","Viet Nam",-0.00117162840095707,0
"YEM","Yemen",0.00233521811519367,0
"ZMB","Zambia",-0.0117298277681344,-1
"ZWE","Zimbabwe",0.000652934254238769,0
