"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"AFG","Afghanistan",0.672489746542768,0.67226484442111,0.672025736497661,0.663615699233217,0.655356249067652,0.64698720507113,0.637362124786318,0.628365355200417,0.620311079831309,0.611647773075678,0.611566304922321,0.611095051338663,0.610884266590051,0.610485280180461,0.608290619744099,0.595300583210638,0.594602985451271,0.568256451613957,0.574921378106254,0.569939561233189,0.587837123489637,0.592715019461852,0.61795589551496,0.606132343449753,0.589579770321265,0.588278369951513,0.586414025809209,0.584399164508044,0.583420765583559,0.58301199306745
"ALB","Albania",0.555114155624837,0.558545471298053,0.53948371224647,0.532087102112179,0.535658446641856,0.515687669447995,0.508129043163846,0.508912860711909,0.507617764217492,0.502825341780629,0.491210562526704,0.504479180363123,0.497281428656593,0.499359065057135,0.502728964112466,0.493964461107185,0.481079227202511,0.477337408709382,0.469828834910579,0.44219191031562,0.444954425065441,0.4359439991037,0.429865487056123,0.428726860341938,0.427300633031583,0.434049204455182,0.427365230649769,0.421196610667485,0.43237913208601,0.433189421970267
"DZA","Algeria",0.575756395506292,0.571235529671207,0.561495133276621,0.546209589597125,0.52861620856633,0.519995835382102,0.535241702187372,0.553550630674098,0.536516419088718,0.522485971089426,0.507708306884285,0.493797417718899,0.493530728021139,0.497341586783335,0.481976972332605,0.480857839888697,0.49406253622311,0.483680832414851,0.478979634638747,0.478499076428649,0.476283283077489,0.473365277775794,0.472475432078903,0.470125847679728,0.467712142039898,0.466612259735673,0.465596426495622,0.464665176427884,0.463671941551864,0.462690807020373
"AND","Andorra",0.256928516062089,0.255034692579419,0.260842924604737,0.23146272105856,0.224258132466443,0.220533738104088,0.222153328377165,0.220342192595667,0.219729101971511,0.218107747062897,0.220842452823118,0.223625726415138,0.221189381378548,0.230379049375277,0.23674359322627,0.238644723525465,0.240079138326671,0.244591021373538,0.246022538371908,0.244071274912442,0.245056713473598,0.24493604667727,0.242381893632726,0.240792162092507,0.24406940821819,0.23348630636141,0.238006718476728,0.235640497701152,0.238285276376146,0.238110649724776
"AGO","Angola",0.629818023008702,0.628319027409239,0.62636085153025,0.624325222965278,0.622364407211993,0.620637817935276,0.618625792915062,0.61669504266532,0.615248018536067,0.613207793026794,0.611905203939027,0.610513587801936,0.609278026755432,0.598926827216943,0.593933361459477,0.594389961678592,0.599322881615064,0.59924232251152,0.589058956047043,0.583076703168466,0.568603213759927,0.568620446852389,0.578026990324776,0.583981804240731,0.580715568852473,0.587310274262698,0.573933174320186,0.571350737149806,0.560615031683429,0.562678546851526
"ATG","Antigua and Barbuda",0.626900950523962,0.627803589748705,0.628802119909631,0.629860358441816,0.630942122780333,0.631517230704688,0.628885396217727,0.627382176328396,0.622149184464908,0.625647579674004,0.621668209320507,0.615802208406781,0.63430395361828,0.630579324494505,0.625473303886907,0.640802823204924,0.64980308681711,0.64610022954689,0.645267033453722,0.642785711613928,0.659766157470644,0.637636208709593,0.646888386404636,0.661082999885258,0.655687750939419,0.659483893839571,0.653070776666076,0.663196167820454,0.662249133162908,0.664383804840475
"ARG","Argentina",0.394396581949172,0.392628440272062,0.391486277122434,0.388249930315692,0.386015035931556,0.384080706904714,0.383800605012699,0.378668435008647,0.37525113573765,0.369734745614644,0.366242567384773,0.365235225185698,0.36707091503382,0.369022129316963,0.366648259355034,0.362395599700432,0.361586389541216,0.361665504779965,0.360928390534929,0.361132064188124,0.36155689881388,0.364035872662406,0.365358492594624,0.372423541321711,0.371248112568877,0.377220543462033,0.373751889332403,0.369228976509402,0.381890534096266,0.377483044783982
"ARM","Armenia",0.437270316869737,0.436628828765666,0.436889423944611,0.427667263798891,0.423010879229605,0.417052089668496,0.422212428237666,0.399705068393622,0.403435470576091,0.411216348742897,0.411666724841099,0.395997868163472,0.399211779519534,0.399521516228265,0.401049932189527,0.39433175416535,0.396973950808135,0.396594998529358,0.398515364032504,0.396345144325877,0.398307779562528,0.396088112840785,0.392297050934405,0.386642355399018,0.388289967634592,0.391013693998049,0.384507467428179,0.378306818989001,0.362743121528664,0.358369860717959
"AUS","Australia",0.377866803168557,0.376861948687235,0.377097266764509,0.375896205502976,0.377969507072284,0.377768838605479,0.379327746819768,0.380504982857876,0.379007423211898,0.377849691487513,0.378318317992514,0.376830870305141,0.377867652838528,0.374224645205257,0.378947361812309,0.376251647845713,0.376646203131383,0.375903998648793,0.37804206001376,0.378331172352649,0.378449038303524,0.376190564885994,0.375577109802767,0.370810319167487,0.367318954081244,0.363758092415552,0.356526754352167,0.350848688060022,0.34535462216731,0.346021680603787
"AUT","Austria",0.293728538562945,0.293445013272372,0.293501287737224,0.294490808402165,0.293661551856463,0.290407040608585,0.293209483881643,0.293543115586647,0.290955992206093,0.289870938629488,0.289737684118365,0.289034780236126,0.289475691382848,0.28678498432108,0.29315249523244,0.290802560800982,0.291217965143836,0.291381312180159,0.294454634515531,0.294273889940535,0.292866792165236,0.289870647759158,0.28715614029955,0.281555121032879,0.283523799242808,0.28188326987025,0.278357799842401,0.275905068422887,0.282405062464886,0.285668801872539
"AZE","Azerbaijan",0.537626620711201,0.543573620024851,0.50740007106057,0.502330653292522,0.521380885530519,0.531017273294374,0.48182638158211,0.479258465823878,0.477921692373779,0.479291691175921,0.481620305368394,0.485202218182498,0.500068320847591,0.496198734592971,0.497372773923759,0.506520883756785,0.490199798698549,0.478873604678626,0.466120345380272,0.471562726411723,0.46534914519497,0.474149982831644,0.475152678699847,0.46191331750268,0.458335946571861,0.467979488115026,0.471226156723918,0.473142286039895,0.460647845181333,0.457460503913098
"BHS","Bahamas",0.504911837463364,0.502084716141693,0.504717684743296,0.505359269812258,0.510068860505541,0.506970798205688,0.505355167148101,0.508679230635903,0.506642555218163,0.506975241447767,0.497812142736876,0.495029387223563,0.496298909831227,0.497002182050801,0.505458059231476,0.502695324669741,0.497314694948935,0.497403320715578,0.498232509742666,0.498134531775289,0.508856890708774,0.511838410759103,0.50688006605592,0.509142911078828,0.50641321585459,0.515224555839833,0.518967115342949,0.521120987848403,0.519825725047589,0.512891294391583
"BHR","Bahrain",0.372138724207395,0.391870269203812,0.38941900710948,0.381436442998406,0.372907288620036,0.37009211399079,0.374013009724734,0.382160723687857,0.370727085723007,0.355785968214196,0.350251853245951,0.345889146833919,0.336341105796163,0.343959055994536,0.341469728102007,0.341225696999554,0.343841899646891,0.349021401505763,0.343120196266304,0.342190359218567,0.34654879702554,0.345459117435372,0.34430177161475,0.338938036550104,0.335589578529149,0.340039157826912,0.341693781844612,0.362726539836522,0.36204194082062,0.364997390065663
"BGD","Bangladesh",0.655450929777245,0.656692585593791,0.691416712256464,0.64734909153511,0.639031787920107,0.631142961867774,0.634148102567364,0.623108497439713,0.634255791649453,0.637039076813874,0.629850324345924,0.617409059307305,0.669318546409653,0.653011856353115,0.648902967698901,0.642127126563432,0.642361937558515,0.597138346955241,0.59152662146277,0.623025271993367,0.593973555279456,0.585337233976972,0.590352772310465,0.57007679634433,0.579317693822086,0.580782326249952,0.582341569591203,0.583914823804301,0.583045667137709,0.582111228624501
"BRB","Barbados",0.329516663386375,0.328142697269249,0.338859978415987,0.346039193866849,0.337869002472981,0.33766669323164,0.34465202286937,0.399757303592576,0.393539238546819,0.348452365072501,0.358460717903167,0.363703070438754,0.383898043232932,0.362570585068599,0.425835404979627,0.432685903387592,0.389669969155538,0.357958912024153,0.352683262634669,0.387634935991895,0.403383021869253,0.40389141008453,0.386644948341984,0.420063515495726,0.432225128360189,0.433845465017545,0.44034909871598,0.432738191453502,0.437943633951619,0.439270714069903
"BLR","Belarus",0.289768099589976,0.289305848799415,0.288693897623931,0.288180554524564,0.290813261454072,0.288753982863629,0.284353057321735,0.284002375829343,0.280695047223811,0.277158387065345,0.276457039040497,0.272390224777388,0.268146426755213,0.268334150514918,0.268111652502229,0.268593566775388,0.264701835946207,0.266353041281736,0.269940735884089,0.275323548904099,0.282026124009319,0.280957635254553,0.276407392710235,0.269830252520837,0.265085638308922,0.267567633405152,0.264081326094915,0.264008570202932,0.26288558210912,0.262274333595191
"BEL","Belgium",0.169224329697386,0.169782993810827,0.173586011007809,0.166732465431383,0.168345860171347,0.159811646304106,0.164980873496323,0.158198903881547,0.162470931464533,0.158028463098267,0.155967242350978,0.161772060988143,0.175810362294411,0.178583994404292,0.189514771831763,0.197453321522223,0.18172606102207,0.179240310509574,0.181643669599086,0.174295191467266,0.181578655058851,0.181077367468464,0.181335225452812,0.179360034532949,0.182850488112078,0.188296441147243,0.182360403752609,0.185488437161795,0.191545928990599,0.197395505622541
"BLZ","Belize",0.539553534176587,0.544916423812568,0.541150177784315,0.535032710162742,0.53549716008719,0.514515127645935,0.520707117422282,0.445133882322323,0.446744872184568,0.511563070265865,0.512850352007545,0.511538285747921,0.518130719366264,0.526366448312061,0.503402002287931,0.528753020870469,0.506789161132086,0.507007033848665,0.474247436217979,0.506800674582904,0.49304396991136,0.482433359776527,0.485311186655908,0.474912719319113,0.495773843935041,0.498268047189789,0.499054596333902,0.518734011818255,0.473253815411262,0.473012075042198
"BEN","Benin",0.696233007540625,0.69571983126245,0.686962183317283,0.678204468965943,0.664393873729762,0.652608141352778,0.639674521296474,0.644605776143206,0.641464172602656,0.638075866618864,0.647820493447145,0.645206289037196,0.641626811369411,0.650309018348751,0.633876954738453,0.652099524302062,0.638424548547395,0.646341597385213,0.6520797881699,0.663587089061228,0.65059883669746,0.674925672413083,0.682501448715887,0.664201571497472,0.6485246434439,0.640810840277676,0.652928356355745,0.637778502279992,0.643735949326788,0.643733952695737
"BTN","Bhutan",0.539361368293778,0.53804141911696,0.5371431570703,0.535769328429133,0.532186389587964,0.530527481658266,0.529309602556255,0.528002679488124,0.526549502397823,0.5254164522256,0.524407694854251,0.541074444008672,0.543530436954019,0.529438558876098,0.528837415575829,0.524205589084239,0.521219660568189,0.527299528299626,0.527043771701423,0.526781687520977,0.525845046470274,0.524889538060949,0.520528960143725,0.514653751015397,0.519515856523475,0.522234387753133,0.520629897101333,0.516257390882949,0.518130304083788,0.516641446422172
