"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"AFG","Afghanistan",0.313837955617227,0.313834885441789,0.313832253862841,0.313829622283894,0.313827429301438,0.313826578970954,0.313826099329775,0.313848038892699,0.314031200086611,0.314310299349347,0.31659793309857,0.319071883622688,0.32108692588511,0.323762559823601,0.327420969623073,0.327257454416631,0.329414438715648,0.333513410212126,0.337466304831494,0.34196895248892,0.344156811099284,0.347502470008672,0.350389401218018,0.35394388814251,0.355462489543316,0.355660618542786,0.355013340427861,0.354444254853628,0.354409584109238,0.355194659861302
"ALB","Albania",0.237027013287682,0.238695730123695,0.240694443517377,0.241317271833502,0.242389235642988,0.242608571236987,0.24368424893199,0.246000144647283,0.245728574377394,0.249734563991707,0.256095713523182,0.270103178008198,0.28518605230211,0.300188168745117,0.3141194742727,0.332354294390352,0.343629686170447,0.360837156803974,0.371662546395738,0.377202066655154,0.376383225925768,0.37669732152358,0.377326111180555,0.378002560484805,0.385502861773903,0.395103691624981,0.403369094216838,0.410307578026868,0.415542867365686,0.44877445795797
"DZA","Algeria",0.206463497158103,0.209503445480371,0.209930617121163,0.211296154946981,0.212280454592789,0.213713796183492,0.215901794516162,0.218857687705725,0.221027576566417,0.226136964076913,0.23287436781662,0.237082437245308,0.24315382289689,0.249164071183025,0.255275684461695,0.256728616546189,0.261494389827767,0.266616086497633,0.272101088598136,0.277241825052909,0.287465612542367,0.300783931527146,0.314061144410654,0.320006519255354,0.325876518829412,0.33164105294937,0.342032143103059,0.343694270668092,0.349943095243363,0.35072415632313
"AND","Andorra",0.137867886537914,0.139247518913142,0.14164485965045,0.146492897910314,0.148835638940145,0.152333557435224,0.154053564436375,0.155072970825915,0.165373242403116,0.179148144148325,0.193422412467272,0.212579140384231,0.237442886795277,0.240432939323351,0.252093439355436,0.260069502100147,0.265623186147509,0.270744694734903,0.278635503896074,0.281148550779222,0.288779144307422,0.296278263853222,0.300060068499137,0.303200372785584,0.341862131646679,0.349146198076387,0.351717267895282,0.391798735885201,0.448398471896854,0.460383857442276
"AGO","Angola",0.0964994911380264,0.0964958216674616,0.0965193096143381,0.0965304384342739,0.0964845916319511,0.0966116753465129,0.104725405460797,0.112893929275229,0.124161803028209,0.131282748306078,0.140851324340211,0.149633292701184,0.159799949225064,0.169881770453608,0.172084361853811,0.173969729947376,0.177177766438137,0.181319299488928,0.186726437536079,0.192043706265161,0.192054856123129,0.19354476874781,0.195161961626353,0.196954085310602,0.19913898449561,0.199706319260766,0.200626769699173,0.203152769442164,0.204467651490022,0.206068664486297
"ATG","Antigua and Barbuda",0.216956397154531,0.218471309435233,0.220494194040203,0.222491765151426,0.225984469985193,0.230274380395267,0.231857772546362,0.237463433741038,0.242533633356772,0.248289034265149,0.256424430636261,0.252032501862184,0.256459922937067,0.263889785432232,0.284011513012524,0.276696094586041,0.275163450761428,0.309634354632473,0.317705680400144,0.307122819462696,0.307697177112699,0.3078896724856,0.308319119544015,0.308411865680016,0.308505438332684,0.308605703274883,0.308702680779186,0.311722088610407,0.311889420302074,0.312394670602073
"ARG","Argentina",0.229966584585312,0.238902254843796,0.232121739611408,0.229993817341043,0.236974340458982,0.246837556469763,0.231884006858895,0.24144535435511,0.247108074226826,0.261771446186043,0.276709126619563,0.288234299258197,0.296214035315347,0.29741180814739,0.300129366285636,0.319447545085317,0.336478783121733,0.343302942795214,0.346255621919406,0.349605787762176,0.357338486368905,0.373435990144988,0.366756603553002,0.373529190600876,0.38054795440239,0.404579149537746,0.40557470253059,0.407270521063271,0.409543759457401,0.410102073710306
"ARM","Armenia",0.263756429388884,0.250991916919408,0.241812318461669,0.281130009765214,0.296601292623854,0.30083411415521,0.30796252727781,0.342701158693551,0.33946363040313,0.331715017900053,0.355595739587977,0.367832845670056,0.356731563083602,0.398713546480588,0.371226085513157,0.385830777694336,0.386009894655663,0.387373933972395,0.386910258451378,0.398693641928616,0.4001893984974,0.417160669863363,0.412332011991765,0.416049736358636,0.414797278203326,0.400572998387025,0.400283397726244,0.400996552588169,0.401834720299215,0.398766012813325
"AUS","Australia",0.504047991101643,0.505428395701963,0.51069495214932,0.52580391884261,0.531772795822007,0.54040459204244,0.56024999481713,0.573515977973561,0.578886539428045,0.589556069564966,0.593351891448392,0.618319049238987,0.612989825679145,0.619177779290531,0.600209180223121,0.59505141059663,0.593509407899132,0.603911377936408,0.627153198388648,0.570198605784616,0.584097480028445,0.601522627133883,0.58060599424264,0.584180090528601,0.586722625829478,0.573573744843538,0.608757767082867,0.59861875033432,0.596459411712654,0.601277424614061
"AUT","Austria",0.552528699562492,0.566615751090311,0.579543168134528,0.587997821303791,0.598221584466391,0.610718845338653,0.615218636351335,0.614168996157149,0.619262961738749,0.628970854832962,0.634502674115471,0.64045965804429,0.645477924479456,0.651974900767533,0.656620426327183,0.670848875085439,0.676822686429516,0.681247403872887,0.684550150102507,0.686765340637818,0.691474520080511,0.692771514802116,0.696626535351837,0.699390995661874,0.699981087963973,0.704454863181863,0.715504838852661,0.716398785181779,0.71299318660274,0.714463027032891
