"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"AFG","Afghanistan",0.0673936181948856,0.0673936181948856,0.0701190769166818,0.0728445356384778,0.0726458897358098,0.0724472438331417,0.0901871957516798,0.107927147670218,0.117713826723055,0.156849317571934,0.154428148213318,0.158554280439414,0.14538365270098,0.126947351286304,0.141148730720707,0.136059182730686,0.134498968871727,0.14465532457966,0.146448289999648,0.172842385854514,0.172976162140069,0.159895069661596,0.151964854457691,0.155221866322212,0.158844550716126,0.163495006217438,0.171938406141788,0.167382912760045,0.166151392358445,0.161340828088808
"ALB","Albania",0.36659443902122,0.36659443902122,0.354369420152433,0.342144401283646,0.325268828569878,0.308393255856111,0.333548816745068,0.358704377634026,0.368705451204766,0.393537213533114,0.375512468821118,0.402033859938036,0.429429565040074,0.443193803099659,0.454665128470508,0.455655841883865,0.435504916261237,0.415386321150633,0.420705839046902,0.46497293773789,0.465947801769375,0.474362728767431,0.472934057545914,0.472846890035518,0.462224080781057,0.451440105948601,0.459484134356919,0.469258476972923,0.473039990767712,0.480401190577085
"DZA","Algeria",0.286931764942139,0.286931764942139,0.269066905298287,0.251202045654434,0.261400972284859,0.271599898915283,0.287943638882775,0.304287378850267,0.317965057062689,0.336772065711376,0.363167888512653,0.368212131467716,0.371109700994534,0.361334463325118,0.339454612709603,0.338552165127023,0.3214606490524,0.328457792065852,0.347403710900257,0.325599553672003,0.334213062293601,0.330388203898068,0.343666162322709,0.353320895288703,0.32573144012746,0.33866712163633,0.34297361298974,0.34979705576215,0.36091588496822,0.368631662562793
"AND","Andorra",0.753017822784559,0.753017822784559,0.753393552237332,0.753769281690105,0.753390419190333,0.75301155669056,0.75734481795236,0.761678079214159,0.754587235298046,0.698510441238442,0.766528027295919,0.766907341103807,0.781482039549306,0.781268282015492,0.781292711426957,0.780940271310441,0.796421638843317,0.795406366364204,0.794885372815951,0.760716689874969,0.761525826357738,0.761647531766179,0.77247368367486,0.773661733862935,0.783996217754347,0.773028678367543,0.772403045230162,0.762128871424538,0.761964006729373,0.761898571092398
"AGO","Angola",0.17297273031676,0.17297273031676,0.1682518917308,0.163531053144839,0.163473065008872,0.163415076872905,0.180682333257467,0.197949589642029,0.211650860016929,0.242463016283926,0.25242662971583,0.281750234560734,0.280198430754102,0.296657449181783,0.295628199735957,0.30295040951212,0.285914093313528,0.285740209255923,0.273195538110849,0.282385768834074,0.277090910840667,0.277422189330721,0.276568848276576,0.312728207842254,0.330561340584617,0.328027316985193,0.336905782251873,0.346655819393436,0.352173459339777,0.347803745860722
"ATG","Antigua and Barbuda",0.660137738891279,0.660137738891279,0.6605134712322,0.66088920357312,0.660510340480195,0.66013147738727,0.660388927061443,0.660646376735616,0.661209723764613,0.631209937465308,0.63303387191431,0.661177258838299,0.661459691256985,0.661279375169126,0.661258259929292,0.700130808524949,0.700223566833576,0.699218151265413,0.698727296574102,0.622142137101266,0.636364596410252,0.628470600022162,0.585209360287974,0.603390465195356,0.61342228311232,0.613336378234824,0.609339768714486,0.618000481533134,0.627003827480078,0.627388532334676
"ARG","Argentina",0.509056766031725,0.509056766031725,0.50004476514022,0.491032764248714,0.480786831625897,0.470540899003079,0.413932755465356,0.357324611927634,0.382576509223743,0.401484190066442,0.436666566182939,0.436921924163229,0.436413657902056,0.415770572257836,0.404942010471148,0.41726713375857,0.433433337632635,0.412923655113401,0.407958437613383,0.381476251166432,0.404887896051742,0.476091598390112,0.489823760735093,0.489739932483544,0.463657116131979,0.458569983550723,0.446736304000033,0.445280971356433,0.446963066891804,0.453675369115862
"ARM","Armenia",0.36815312228271,0.36815312228271,0.37656194085049,0.384970759418271,0.374022516283738,0.363074273149205,0.390167382481155,0.417260491813105,0.442747810969276,0.450801188743273,0.452573232446783,0.446043809759438,0.462347017985335,0.454477720884008,0.464867788223556,0.461078008073857,0.455634564313182,0.47118007346457,0.472069902577408,0.440909932950765,0.451188504243464,0.448136263401597,0.45356739392254,0.49598458413311,0.503003868964056,0.502148442836382,0.488012535129631,0.482458712749937,0.480800100319681,0.478482201413894
"AUS","Australia",0.822354537759285,0.822354537759285,0.826890836494494,0.831427135229703,0.841306288652848,0.851185442075993,0.839945896770632,0.828706351465271,0.833539456153504,0.819272562346207,0.818958453413186,0.820085130455924,0.830535575012136,0.83886989510187,0.828038782333534,0.820838747042044,0.823276925566848,0.831562983073179,0.814436644495397,0.823662986026567,0.812363876562968,0.819649072799983,0.807230859118182,0.811018516092239,0.811069003196196,0.794657514305452,0.799141506931244,0.800038180739136,0.807708280175307,0.798624491031418
"AUT","Austria",0.832978979282285,0.832978979282285,0.822627719932024,0.812276460581762,0.814847660578274,0.817418860574785,0.830243067597354,0.843067274619923,0.835347676979465,0.823615216099089,0.835559625490468,0.842382931317646,0.857434673285539,0.844655518655611,0.827725562798097,0.819408728230358,0.804073676921842,0.796533826852869,0.796777752695836,0.794980763351874,0.788702739452078,0.784904081142902,0.789469781896505,0.795971893265556,0.793707762766299,0.788002912449745,0.768171641680522,0.755801297212429,0.758884414839791,0.746142817892954
"AZE","Azerbaijan",0.252316905527612,0.252316905527612,0.268334192102761,0.28435147867791,0.285539584307534,0.286727689937158,0.295427225244385,0.304126760551612,0.314713304654206,0.315077806167619,0.32380560055639,0.332664286863535,0.353304433639237,0.368061724070098,0.368109315276141,0.357460549489418,0.348443212447577,0.344904829526144,0.372644217737997,0.374092754885939,0.379875894528698,0.393749789062744,0.389267296362395,0.393224324513189,0.406293362566765,0.400963420291683,0.40353365461452,0.400942315208632,0.410716727075617,0.434338103171761
"BHS","Bahamas",0.714642658201942,0.714642658201942,0.724206816742151,0.733770975282361,0.736576331274941,0.739381687267522,0.745415873902092,0.751450060536662,0.743246418446648,0.721565509387353,0.752305465410134,0.731015633069953,0.734274029357271,0.73153365136892,0.707637471863609,0.703476040661726,0.699146391040277,0.693111771234136,0.686176285888765,0.656429876318519,0.632688723884921,0.634573911585275,0.624649542697242,0.62481827272382,0.623339657355786,0.620809321049226,0.624355233985664,0.623889735330632,0.630873296544343,0.62949500973862
"BHR","Bahrain",0.515123062339602,0.515123062339602,0.529681229766731,0.54423939719386,0.550276877604123,0.556314358014386,0.584386822939356,0.612459287864326,0.589817250786568,0.583422003119503,0.56201802503394,0.543577718169149,0.556388295583021,0.54379788700477,0.546825467306006,0.524565596962431,0.501842763921694,0.496447938525874,0.488150668004787,0.477488053587262,0.496961423319025,0.48078881687142,0.471268596342788,0.476182326346215,0.495722361921864,0.491248258198983,0.530415533191768,0.531670613404477,0.542707920243719,0.557722184656766
"BGD","Bangladesh",0.320978036812807,0.320978036812807,0.322694214760908,0.32441039270901,0.307501876882973,0.290593361056937,0.273337395638928,0.256081430220919,0.255719610552072,0.253041907825448,0.245726575313221,0.255344552370171,0.282649170763325,0.30115985268669,0.304844273729884,0.298698566325866,0.304288273572979,0.278262292694678,0.266013765605935,0.304045515691463,0.302700086839856,0.301315255174974,0.302023346367097,0.312508031561421,0.307157844538724,0.309780676176205,0.304245174596375,0.295059409206006,0.301198842975501,0.28239520797043
"BRB","Barbados",0.729661704378269,0.729661704378269,0.739070135870379,0.748478567362489,0.757337108139361,0.766195648916232,0.762159529895277,0.758123410874323,0.75264917607474,0.722833345447071,0.763420652712949,0.74141300608029,0.754794349801374,0.758053845442002,0.727232420537197,0.722477484286314,0.739119567706992,0.73227428204203,0.728429165877236,0.689360976621779,0.704915536319201,0.684602715286785,0.673944409634249,0.665512012574595,0.669295520103112,0.672732543402789,0.678165687371834,0.681028633538949,0.687154033695651,0.688110696287379
"BLR","Belarus",0.394608162847636,0.394608162847636,0.397096120983316,0.399584079118996,0.38335127657481,0.367118474030624,0.370121226680533,0.373123979330443,0.393242837593913,0.3907244560326,0.397972652385236,0.35079517324369,0.364613497158002,0.390607194551732,0.389404006882603,0.365727936815082,0.362278662694868,0.401573902184507,0.399577225799005,0.422386463241596,0.412276925602831,0.426626105198916,0.419789291095742,0.43539584756617,0.460679584127171,0.386468081244927,0.374065718658796,0.344462962266841,0.340303809953482,0.335092911766574
